,X,Y,area,perimeter,roi,image,category,Brep,Trep,group,chemistry,path_decon,path_raw,expected,1,2,3,4
0,123.395,33.02,200.299,53.891000000000005,2,1,OFQv67_w3,OFQv67,w3,36plex-1K eLIT,JEB,../20190204_OFQv67/detect_toto_w3/OFQv67_w3_1_decon/roi_2.tif,merged/OFQv67/w3/1/roi_2.tif,66,10,58,61,54
1,97.73200000000001,109.741,191.62099999999998,52.75899999999999,5,1,OFQv67_w3,OFQv67,w3,36plex-1K eLIT,JEB,../20190204_OFQv67/detect_toto_w3/OFQv67_w3_1_decon/roi_5.tif,merged/OFQv67/w3/1/roi_5.tif,66,13,55,60,54
2,52.49100000000001,23.491999999999997,131.091,43.653999999999996,2,2,OFQv67_w3,OFQv67,w3,36plex-1K eLIT,JEB,../20190204_OFQv67/detect_toto_w3/OFQv67_w3_2_decon/roi_2.tif,merged/OFQv67/w3/2/roi_2.tif,66,18,59,59,58
3,106.34700000000001,25.073,175.333,51.952,3,2,OFQv67_w3,OFQv67,w3,36plex-1K eLIT,JEB,../20190204_OFQv67/detect_toto_w3/OFQv67_w3_2_decon/roi_3.tif,merged/OFQv67/w3/2/roi_3.tif,66,16,60,59,56
4,40.088,43.849,117.149,40.415,4,2,OFQv67_w3,OFQv67,w3,36plex-1K eLIT,JEB,../20190204_OFQv67/detect_toto_w3/OFQv67_w3_2_decon/roi_4.tif,merged/OFQv67/w3/2/roi_4.tif,66,18,64,61,52
5,19.769000000000002,46.908,155.843,47.738,5,2,OFQv67_w3,OFQv67,w3,36plex-1K eLIT,JEB,../20190204_OFQv67/detect_toto_w3/OFQv67_w3_2_decon/roi_5.tif,merged/OFQv67/w3/2/roi_5.tif,66,16,61,63,60
6,94.024,55.472,167.50900000000001,49.753,6,2,OFQv67_w3,OFQv67,w3,36plex-1K eLIT,JEB,../20190204_OFQv67/detect_toto_w3/OFQv67_w3_2_decon/roi_6.tif,merged/OFQv67/w3/2/roi_6.tif,66,11,65,64,60
7,38.246,119.88799999999999,144.321,45.604,8,2,OFQv67_w3,OFQv67,w3,36plex-1K eLIT,JEB,../20190204_OFQv67/detect_toto_w3/OFQv67_w3_2_decon/roi_8.tif,merged/OFQv67/w3/2/roi_8.tif,66,18,66,63,56
8,120.249,12.452,157.622,47.022,1,3,OFQv67_w3,OFQv67,w3,36plex-1K eLIT,JEB,../20190204_OFQv67/detect_toto_w3/OFQv67_w3_3_decon/roi_1.tif,merged/OFQv67/w3/3/roi_1.tif,66,14,57,49,42
9,35.36,50.335,163.02700000000002,53.449,2,3,OFQv67_w3,OFQv67,w3,36plex-1K eLIT,JEB,../20190204_OFQv67/detect_toto_w3/OFQv67_w3_3_decon/roi_2.tif,merged/OFQv67/w3/3/roi_2.tif,66,22,52,55,47
10,104.61200000000001,74.19800000000001,159.329,48.401,4,3,OFQv67_w3,OFQv67,w3,36plex-1K eLIT,JEB,../20190204_OFQv67/detect_toto_w3/OFQv67_w3_3_decon/roi_4.tif,merged/OFQv67/w3/3/roi_4.tif,66,20,57,61,53
11,17.471,94.47,163.38299999999998,50.055,5,3,OFQv67_w3,OFQv67,w3,36plex-1K eLIT,JEB,../20190204_OFQv67/detect_toto_w3/OFQv67_w3_3_decon/roi_5.tif,merged/OFQv67/w3/3/roi_5.tif,66,18,60,62,57
12,88.475,96.941,140.33700000000002,44.56399999999999,6,3,OFQv67_w3,OFQv67,w3,36plex-1K eLIT,JEB,../20190204_OFQv67/detect_toto_w3/OFQv67_w3_3_decon/roi_6.tif,merged/OFQv67/w3/3/roi_6.tif,66,21,62,58,57
13,22.028000000000002,23.903000000000002,176.96900000000002,51.03,2,4,OFQv67_w3,OFQv67,w3,36plex-1K eLIT,JEB,../20190204_OFQv67/detect_toto_w3/OFQv67_w3_4_decon/roi_2.tif,merged/OFQv67/w3/4/roi_2.tif,66,19,56,57,52
14,79.21600000000001,27.78,172.985,49.909,3,4,OFQv67_w3,OFQv67,w3,36plex-1K eLIT,JEB,../20190204_OFQv67/detect_toto_w3/OFQv67_w3_4_decon/roi_3.tif,merged/OFQv67/w3/4/roi_3.tif,66,16,61,61,53
15,47.45399999999999,37.279,181.66299999999998,51.407,4,4,OFQv67_w3,OFQv67,w3,36plex-1K eLIT,JEB,../20190204_OFQv67/detect_toto_w3/OFQv67_w3_4_decon/roi_4.tif,merged/OFQv67/w3/4/roi_4.tif,66,21,61,56,54
